Studentennummer, Minor1, Minor2, Minor3, Minor4, Minor5, Minor6, Minor7
"2772,Minor Art\'n\'sound,Minor Art \'n\' Sound,Minor 3D,Minor 3D,Minor 3D,,,"
"2928,Minor Art\'n\'sound,Minor Art \'n\' Sound,Minor Art \'n\' Sound,Minor Art \'n\' Sound,Minor Transmedia Storytelling,,,"
"2593,Minor Art\'n\'sound,Minor Art\'n\'Sound,Minor Art\'n\'sound,Minor Art \'n\' Sound,Minor Crossmedia,Minor Art \'n\' Sound,Minor Concepting,"
"2606,Minor Art\'n\'sound,Minor Art\'n\'Sound,Minor Art\'n\'sound,Minor Art \'n\' Sound,Minor Transmedia Storytelling,,,"
"2536,Minor Art\'n\'Sound,Minor Art\'n\'sound,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,"
"2750,Minor Art\'n\'sound,Minor Concepting,Minor Concepting,,,,,"
"2497,Minor Art\'n\'sound,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Concepting,Minor Concepting,Minor Transmedia Storytelling,"
"2654,Minor Art\'n\'Sound,Minor Crossmedia,Minor Concepting,Minor Crossmedia,Minor The Next Web,,,"
"2514,Minor Art\'n\'sound,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,"
"2690,Minor Art\'n\'sound,Minor Crossmedia,Minor Crossmedia,,,,,"
"2781,Minor Art\'n\'Sound,Minor Crossmedia,Minor Game Design,Minor Game Design,,,,"
"2814,Minor Art\'n\'sound,Minor Crossmedia,Minor Multimediaal Reclamebureau,,,,,"
"2873,Minor Art\'n\'sound,Minor Crossmedia,Minor Multimediaal Reclamebureau,,,,,"
"2675,Minor Art\'n\'sound,Minor Crossmedia,Minor Ondernemen,Minor Concepting,Minor Concepting,,,"
"1657,Minor Art\'n\'sound,Minor Crossmedia,,,,,,"
"2812,Minor Art\'n\'sound,Minor Multimediaal Reclamebureau,Minor Art \'n\' Sound,,,,,"
"2843,Minor Art\'n\'sound,Minor Ondernemen,Minor Art \'n\' Sound,Minor Transmedia Storytelling,,,,"
"2759,Minor Concepting,Minor 3D,Minor 3D,Minor Concepting,,,,"
