Studentennummer, Minor1, Minor2, Minor3, Minor4, Minor5, Minor6, Minor7
"3645,Minor The Next Web,,,,,,,"
"3676,Minor The Next Web,,,,,,,"
"3668,Minor The Next Web,,,,,,,"
"3742,Minor The Next Web,,,,,,,"
"3763,Minor The Next Web,,,,,,,"
"3010,Minor Transmedia Storytelling,Minor 3D,,,,,,"
"3351,Minor Transmedia Storytelling,Minor Concepting,,,,,,"
"3358,Minor Transmedia Storytelling,Minor Concepting,,,,,,"
"3526,Minor Transmedia Storytelling,Minor Concepting,,,,,,"
"3391,Minor Transmedia Storytelling,Minor Multimediaal Reclamebureau,,,,,,"
"3516,Minor Transmedia Storytelling,Minor Multimediaal Reclamebureau,,,,,,"
"3490,Minor Transmedia Storytelling,Minor Multimediaal Reclamebureau,,,,,,"
"3428,Minor Transmedia Storytelling,Minor Multimediaal Reclamebureau,,,,,,"
"3372,Minor Transmedia Storytelling,Minor The Next Web,,,,,,"
"3406,Minor Transmedia Storytelling,Minor Transmedia Storytelling,,,,,,"
"3378,Minor Transmedia Storytelling,Minor Transmedia Storytelling,,,,,,"
"3502,Minor Transmedia Storytelling,Minor Transmedia Storytelling,,,,,,"
"3430,Minor Transmedia Storytelling,Minor Transmedia Storytelling,,,,,,"
"3466,Minor Transmedia Storytelling,Minor Transmedia Storytelling,,,,,,"
"1686,Minor Transmedia Storytelling,,,,,,,"
"3608,Minor Transmedia Storytelling,,,,,,,"
"3355,Minor Transmedia Storytelling,,,,,,,"
"3480,Minor Transmedia Storytelling,,,,,,,"
"3521,Minor Transmedia Storytelling,,,,,,,"
"3473,Minor Transmedia Storytelling,,,,,,,"
"3404,Minor Transmedia Storytelling,,,,,,,"
"3433,Minor Transmedia Storytelling,,,,,,,"
"3588,Minor Transmedia Storytelling,,,,,,,"
"3449,Minor Transmedia Storytelling,,,,,,,"
"3589,Minor Transmedia Storytelling,,,,,,,"
"3465,Minor Transmedia Storytelling,,,,,,,"
"3616,Minor Transmedia Storytelling,,,,,,,"
"3786,Minor Transmedia Storytelling,,,,,,,"
"3689,Minor Transmedia Storytelling,,,,,,,"
"3665,Minor Transmedia Storytelling,,,,,,,"
